001	आइकन
002	घटक लोड हो रहे हैं...
003	लेबल
004	इनपुट
005	मेनू
006	कंटेनर
007	स्वचालित अपडेट
008	कैरोसेल
009	प्रभाव
010	प्रतिक्रिया
011	चार्ट
012	बटन
013	लोडिंग
014	सेटिंग्स
015	नेविगेशन
016	कार्ड
017	एक त्रुटि हुई
018	कार्रवाई सफल रही
019	ध्यान देना आवश्यक है
020	जानकारी
021	प्रक्रिया जारी है...
022	InfoBar
023	प्रगति वलय
024	प्रगति पट्टी 60%
025	प्रक्रिया जारी है...
026	Toast की चार प्रगति सुविधाएँ
027	डाउनलोड हो रहा है...
028	सिंक हो रहा है...
029	अपलोड
030	प्रगति वलय 40%
031	अपलोड हो रहा है...
032	अनिश्चित प्रगति पट्टी
033	डेटा सिंक हो रहा है...
034	प्रक्रिया
035	कृपया प्रतीक्षा करें...
036	InfoBar प्रगति मोड
037	InfoBar की चार प्रगति सुविधाएँ
038	सिंक करना
039	अनिश्चित प्रगति वलय
040	प्रगति पट्टी
041	Toast प्रगति मोड
042	डाउनलोड
043	फ़ाइलें डाउनलोड हो रही हैं...
044	अमान्य DRY इंस्टॉलर पथ
045	DRY डेमो पूरा: मौन स्थापना हस्तांतरण का अनुकरण किया गया; कोई फ़ाइल डाउनलोड नहीं हुई और कोई इंस्टॉलर शुरू नहीं हुआ
046	DRY: अपडेट जाँच का अनुकरण हो रहा है...
047	DRY: अनुकरणित डाउनलोड<SP>
048	- डाउनलोड प्रगति को 0% से 100% तक अनुकरण करें<NL>
049	- फ़ाइल बनाए या प्रोग्राम शुरू किए बिना Inno Setup मौन स्थापना हस्तांतरण का अनुकरण करें
050	DRY मोड बाहरी पृष्ठ नहीं खोलता
051	DRY: अनुकरणित डाउनलोड पूरा; स्थापना हस्तांतरित हो रही है
052	- वास्तविक अपडेट पुष्टिकरण संवाद दिखाएँ<NL>
053	DRY अनुकरणित डाउनलोड जारी है
054	DRY: अनुकरणित डाउनलोड तैयार हो रहा है
055	अमान्य DRY डाउनलोड टोकन
056	DRY: स्थापना हस्तांतरण विफल
057	DRY: दो-स्लॉट स्थापना हस्तांतरण विफल
058	DRY: दो-स्लॉट तैयारी पूरी; अगले आरंभ पर अपने आप स्विच होगा
059	DRY: निष्क्रिय स्लॉट पृष्ठभूमि में तैयार हो रहा है
060	DRY: अनुकरणित संस्करण मिला; पुष्टि की प्रतीक्षा है
061	DRY डेमो जारी है
062	## DRY डेमो अपडेट<NL><NL>
063	, पुष्टि की प्रतीक्षा है
064	यह जाँच, पुष्टि, डाउनलोड प्रगति, निष्क्रिय स्लॉट में पृष्ठभूमि लेखन और अगले आरंभ पर स्विच करना दिखाता है; यह कभी नेटवर्क का उपयोग, फ़ाइल निर्माण या इंस्टॉलर आरंभ नहीं करता।
065	नीचे-दाएँ Toast
066	2. टिप्पणियाँ दिखाने और “डाउनलोड और इंस्टॉल करें” की पुष्टि के लिए वास्तविक UpdateDialog का उपयोग करें
067	Releases जाँचने के लिए Gallery द्वारा दिए गए वास्तविक Updater का उपयोग करें; यह मोड नेटवर्क का उपयोग और रिलीज़ पृष्ठ खोल सकता है।
068	अंतिम बार मिला:
069	3. Toast या ProgressDialog से अनिश्चित या निश्चित डाउनलोड प्रगति दिखाएँ
070	उपयोगकर्ता वास्तविक संवाद और प्रगति प्रतिक्रिया देखते हैं, लेकिन स्थापना का कोई दुष्प्रभाव नहीं होता।
071	वास्तविक Release मोड
072	DRY डाउनलोड और स्थापना डेमो
073	वर्तमान संस्करण:
074	DRY डेमो मोड (सुरक्षित अनुकरण)
075	अंतिम बार मिला: कुछ नहीं
076	अपडेट प्रक्रिया
077	जाँच का अनुकरण हो रहा है...
078	Gallery सीधे दिखाती है कि मुखौटा घटक आंतरिक Updater, UpdateDialog और बदले जा सकने वाले प्रतिक्रिया प्रस्तुतकर्ता का समन्वय कैसे करता है।
079	नया संस्करण मिला<SP>
080	DRY डेमो शुरू करें
081	डाउनलोड की पुष्टि हुई<SP>
082	पृष्ठभूमि में तैयारी हो रही है...
083	1. GitHub Releases जाँचें और वर्तमान संस्करण से तुलना करें
084	डेमो स्रोत:
085	2. नया संस्करण मिलने पर रिलीज़ टिप्पणियाँ और पुष्टिकरण संवाद दिखाएँ
086	अपडेट जाँचें
087	कॉन्फ़िगर नहीं किया गया
088	4. दो-स्लॉट मोड में निष्क्रिय स्लॉट को पृष्ठभूमि में बदलें और अगले आरंभ पर नए संस्करण में स्विच करें
089	पहले से नवीनतम है<SP>
090	रिपॉज़िटरी:
091	वास्तविक मोड उपलब्ध नहीं: Gallery ने appUpdater नहीं दिया
092	वास्तविक मोड: अभी जाँचा नहीं गया
093	1. जाँच का अनुकरण करें और डेमो संस्करण लौटाएँ
094	3. अनुकरणित प्रगति को 100% तक बढ़ाने के लिए वास्तविक Toast या ProgressDialog का उपयोग करें
095	जाँच विफल:
096	DRY मोड: डेमो शुरू होने की प्रतीक्षा है
097	4. Inno Setup द्वारा निष्क्रिय स्लॉट के पृष्ठभूमि प्रतिस्थापन का अनुकरण करें; इस संस्करण को चालू रखें और अगले आरंभ पर स्विच करें
098	वास्तविक GitHub Releases अपडेट कार्यप्रवाह
099	DRY: अनुकरणित संस्करण मिला<SP>
100	वास्तविक मोड वर्तमान प्लेटफ़ॉर्म के लिए इंस्टॉलर संपत्ति देने वाले Release पर निर्भर करता है।
101	जाँच हो रही है...
102	बटन - ToolButton और सुविधा संयोजन
103	संपादित करें
104	केवल पाठ (Push)
105	बैज के साथ संयोजन (Badge)
106	बटन - हर शैली के साथ संयुक्त उलटी गिनती बटन
107	शैली और सुविधा संयोजन (indeterminate_ring)
108	हटाएँ
109	बटन - ToolButton शैलियाँ (6)
110	कार्रवाई B
111	शैली, Pill और Dropdown/Split संयोजन
112	सत्यापन कोड भेजें
113	केवल आइकन → ToolButton शैली; पाठ या आइकन + पाठ → PushButton शैली
114	मेनू:
115	बटन - शैली × Pill आकार × प्रगति सुविधा
116	बटन - Filled प्रकार: बिना पृष्ठभूमि, स्थिति-रंग वाला पाठ
117	विकल्प 2
118	बटन - आकार (2)
119	शैली, Pill और Toggle संयोजन
120	कार्रवाई A
121	चयनित:
122	बाहरी मेनू का मुख्य बटन क्लिक किया गया
123	मुख्य बटन क्लिक किया गया
124	विकल्प 3
125	शैली और सुविधा संयोजन (progress_bar)
126	बटन - Filled स्थिति स्तर (6)
127	गुण
128	विकल्प 1
129	शैली और आकार संयोजन
130	बटन - स्वचालित प्रकार पहचान
131	शैली और सुविधा संयोजन (indeterminate_bar)
132	बटन - सुविधाएँ (9)
133	बटन - शैली × Pill आकार × dropdown/split सुविधा
134	बाहरी कार्रवाई 2
135	शैली और सुविधा संयोजन (toggle)
136	बटन - Text स्थिति स्तर (6)
137	आइकन + पाठ (Push)
138	शैली और सुविधा संयोजन (split)
139	बाहरी मेनू
140	शैली और सुविधा संयोजन (countdown)
141	शैली और सुविधा संयोजन (progress_ring)
142	केवल आइकन + सुविधा
143	बाहरी कार्रवाई 1
144	बटन - 7 शैलियाँ × Pill आकार × toggle सुविधा
145	केवल आइकन वाले बटन अपने आप ToolButton के रूप में पहचाने जाते हैं
146	शैली और सुविधा संयोजन (dropdown)
147	बटन - शैलियाँ (6)
148	केवल आइकन (Tool)
149	आकार (pill) और सुविधा संयोजन
150	शैली, Pill और Progress संयोजन
151	कोई होवर प्रभाव नहीं
152	होवर कार्ड
153	विशेष कार्ड
154	ऊपर उठे बिना होवर पर रंग बदलता है
155	विस्तार करने के लिए क्लिक करें
156	विस्तारित सामग्री
157	सेटिंग कार्ड
158	मूल कार्ड
159	अधिक गहरी छाया के साथ होवर पर ऊपर उठता है
160	अलग शीर्षक क्षेत्र वाला कार्ड
161	सरल कार्ड
162	मानक कार्ड
163	कार्ड और कंटेनर
164	शीर्षक कार्ड
165	बटन के साथ लंबवत
166	मूल क्षैतिज (5 बिंदु)
167	Carousel + PipsPager - पृष्ठ संकेतकों वाला एकीकृत कैरोसेल
168	मानक स्लाइडिंग कैरोसेल
169	effect_slide + लंबवत
170	क्षैतिज (डिफ़ॉल्ट)
171	लंबवत (orientation: Qt.Vertical)
172	बटन के साथ (हमेशा दृश्यमान)
173	बाहरी PipsPager सिंक + लूप
174	कैरोसेल और पृष्ठ संकेतक
175	effect_slide (क्षैतिज)
176	Carousel - क्षैतिज/लंबवत दिशा + बाहरी PipsPager सिंक
177	पृष्ठ संकेतक (PipsPager)
178	Carousel - प्रभाव: effect_slide (किनारे दिखाई दिए बिना पूरी छवि की स्लाइड)
179	आंशिक रूप से दिखाई देने वाला कैरोसेल
180	मूल लंबवत (4 बिंदु)
181	HorizontalPipsPager / VerticalPipsPager - पृष्ठ बटन, दृश्यमान संख्या सीमा और सहज स्क्रॉलिंग
182	उत्पाद C
183	रडार चार्ट
184	उत्पाद D
185	स्कैटर चार्ट
186	उत्पाद B
187	डोनट चार्ट
188	बिक्री क्रम
189	डोनट चार्ट - उभरा हुआ केंद्र
190	बॉक्सप्लॉट चार्ट
191	चार्ट घटक
192	क्षैतिज बार चार्ट
193	ऑडियो तरंगरूप (AudioWaveform)
194	रेखा चार्ट
195	बॉक्सप्लॉट चार्ट - बाहरी मानों के साथ
196	संचयी क्षेत्र चार्ट
197	उत्पाद A
198	उत्पाद E
199	स्तंभ चार्ट
200	पाई चार्ट
201	लेआउट (mode=mode_default) - आंतरिक FlowLayout मोड स्विचिंग
202	लेआउट घटक
203	लंबवत मोड: सभी उप-तत्वों की चौड़ाई समान होती है (स्तंभ की चौड़ाई बराबर बाँटी जाती है)
204	फ़ाइल ड्रॉप
205	क्षैतिज (समान ऊँचाई)
206	नीचे
207	दाएँ
208	लंबवत (समान चौड़ाई)
209	ऊपर से विस्तार
210	उच्च त्रुटि सुधार
211	स्क्रॉल तत्व<SP>
212	PrismQML घटक लाइब्रेरी
213	दराज़
214	बंद करें
215	प्रवाह लेआउट
216	नीचे की सामग्री
217	ऊपरी दराज़
218	क्षैतिज मोड: पंक्ति के सभी उप-तत्वों की ऊँचाई समान होती है (पंक्ति की अधिकतम ऊँचाई)
219	गोपनीय दस्तावेज़
220	दाएँ से विस्तार
221	डिफ़ॉल्ट
222	बाएँ से विस्तार
223	निचली दराज़
224	दाईं दराज़
225	समूहित सामग्री
226	विभाजक
227	QR कोड
228	वॉटरमार्क
229	मोड स्विच:
230	समूह शीर्षक
231	विंडो के बाहर की दराज़
232	ऊपर की सामग्री
233	विभाजक रेखा
234	नीचे से विस्तार
235	ऊपर
236	स्क्रॉल घटक
237	समूह बॉक्स
238	बाएँ
239	बाईं दराज़
240	कंटेनर घटक
241	डिफ़ॉल्ट मोड: प्रत्येक उप-तत्व का मूल आकार बनाए रखें और अपने आप अगली पंक्ति में ले जाएँ
242	थीम: क्लासिक, सियान, ऐंबर, लाल, बैंगनी, नीला, सफ़ेद, गुलाबी, सुनहरा, लाइम, नारंगी, टील, निऑन, सूर्यास्त, महासागर, वन, मध्यरात्रि
243	→ दाएँ
244	दिशा
245	इंद्रधनुष मोड
246	वर्ण समूह
